plan_id,owner_id,type,last_transaction_date,inactivity_days
dc58f3ec56e04193b818a473b3ae8ff4,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2016-09-18 19:21:49",3165
ba6cda07fcd44c6a812fb0b7fee01b3c,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2016-09-18 19:07:14",3165
c4f47b8284594473b7b931e2cf6f60ec,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2016-10-08 15:03:45",3145
2f385055da5c41b7a35cd7d961d8ac57,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2016-10-09 17:38:27",3144
671e6e5caf0f463b80123c839264de8c,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2016-10-16 10:48:37",3137
aa2860ccb39c41f998d04da49481557a,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2016-10-16 15:51:11",3137
836425e0abcc4a178fde22d3fbb238c0,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2016-11-20 14:44:49",3102
eeb2bd4af1a647699435945060a50b78,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-01-14 09:42:56",3047
5bdfb2c233cb406bb845f846a468b4e8,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-02-18 23:10:52",3012
eff5cb394614489082027ebbd92071a0,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-03-03 17:00:26",2999
c11b98eee766489bbfaeb4f2b36e968b,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-03-04 16:08:10",2998
82934ee3682b41ae9f53ffe29342643a,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-03-04 14:06:31",2998
5c809e60fc884f3f80f49a8f25174bd4,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-03-05 02:11:00",2997
4156f7ddaa6d4ddca58cfd12c29a9e09,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-04-02 12:54:17",2969
57341a1c17a743acbcbc6bae9bfd2ca1,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-08-26 19:07:28",2823
adc0a23b74b344e984fb09ec81aca55c,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-08-30 21:04:37",2819
ec71de5e0a7a4f6ba771a3013f652213,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-09-01 22:35:05",2817
9466eb23e7b9498cbf9a9a20f979851b,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-09-03 23:00:18",2815
55ecfe195dc04e5fa3a7e39bf3f3030a,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-09-08 09:25:58",2810
30a0728ea7274194aab5b1434544eba7,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-10-13 21:00:26",2775
fd3a193b7f3c47669dbdc3c8e6bc3c99,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-10-13 20:56:03",2775
b5207d6d6d7b4795a6257f1153408d76,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-10-13 20:32:01",2775
b83213c72a6f46239547c8e026204342,0257625a02344b239b41e1cbe60ef080,"Fixed Investment","2017-10-15 12:53:32",2773
c8b9a67caa56442d91028f132727a4b9,0257625a02344b239b41e1cbe60ef080,"Save As You Earn","2017-10-22 23:00:27",2766
